Reaction ID	Pathway	Class1	Class2	Class3	Class4	Class5	Class6	SM1A
+-BORNEOL-DEHYDROGENASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
+-NEOMENTHOL-DEHYDROGENASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.1.1.127-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.136-RXN	NA	Nucleotides Metabolism	Carbohydrates Metabolism	NA	NA	NA	NA	NA
1.1.1.141-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.145-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.168-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.170-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.176-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.1.1.178-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.181-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.188-RXN	NA	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
1.1.1.190-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.197-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.209-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.210-RXN	NA	Redox Metabolism	Hormones Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
1.1.1.215-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.220-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.222-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.1.1.239-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.247-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.1.1.248-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.1.1.252-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.1.1.253-RXN	NA	Redox Metabolism	Cofactors Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
1.1.1.254-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.255-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.259-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.1.1.261-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.1.1.263-RXN	NA	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
