SPPWY	pathways
P_001	ACETATEUTIL-PWY
P_002	AMMASSIM-PWY
P_003	ARGDEGRAD-PWY
P_004	ARGSYN-PWY
P_005	ARO-PWY
P_006	ASPASN-ARA-PWY
P_007	BRANCHED-CHAIN-AA-SYN-PWY
P_008	CAROTENOID-PWY
P_009	COLANSYN-PWY
P_010	COMPLETE-ARO-ARA-PWY
P_011	GLUDEG-I-PWY
P_012	ILE-VAL-PWY
P_013	P142-PWY
P_014	PENTOSE-P-PWY
P_015	PHOSLIPSYN2-PWY
P_016	PHOTOALL-PWY
P_017	POLYAMINSYN3-PWY
P_018	POLYISOPRENSYN-PWY
P_019	PWY0-1325
P_020	PWY0-162
P_021	PWY0-166
P_022	PWY0-381
P_023	PWY-13
P_024	PWY-2055
P_025	PWY-2229
P_026	PWY-2541
P_027	PWY2OL-4
P_028	PWY-3001
P_029	PWY-3097
P_030	PWY-3282
P_031	PWY-3481
P_032	PWY-3801
P_033	PWY3DJ-35471
P_034	PWY-4041
P_035	PWY-4161
P_036	PWY-4221ARA
P_037	PWY-4762
P_038	PWY-4765
P_039	PWY-4821
P_040	PWY4FS-5
P_041	PWY4FS-7
P_042	PWY4FS-8
P_043	PWY-5004
P_044	PWY-5043
P_045	PWY-5044
P_046	PWY-5052
P_047	PWY-5053
P_048	PWY-5071
P_049	PWY-5114
P_050	PWY-5121
P_051	PWY-5134
P_052	PWY-5156
P_053	PWY-5173
P_054	PWY-5310
P_055	PWY-5312
P_056	PWY-5313
P_057	PWY-5405
P_058	PWY-5416
P_059	PWY-5424
P_060	PWY-5433
P_061	PWY-5464
P_062	PWY-5478
P_063	PWY-5485
P_064	PWY-5600
P_065	PWY-5692
P_066	PWY-5694
P_067	PWY-5705
P_068	PWY-5717
P_069	PWY-5863
P_070	PWY-5864
P_071	PWY-5910
P_072	PWY-5918
P_073	PWY-5991
P_074	PWY-6176
P_075	PWY-6196
P_076	PWY-6234
P_077	PWY-6266
P_078	PWY-6266-ARA
P_079	PWY-6270
P_080	PWY-6277
P_081	PWY-6395
P_082	PWY-6415
P_083	PWY-6432
P_084	PWY-6443
P_085	PWY-6446
P_086	PWY-6544
P_087	PWY-6595
P_088	PWY66-341
P_089	PWY-6663
P_090	PWY-6887
P_091	PWY-6897
P_092	PWY-7003
P_093	PWY-7149
P_094	PWY-7186
P_095	PWY-7194
P_096	PWY-7196
P_097	PWY-7200
P_098	PWY-7208
P_099	PWY-7211
P_100	PWY-7228
P_101	PWY-7229
P_102	PWY-724
P_103	PWY-7270
P_104	PWY-7328
P_105	PWY-7341
P_106	PWY-7342
P_107	PWY-7476
P_108	PWY-7509
P_109	PWY-7527
P_110	PWY-7528
P_111	PWY-841
P_112	PWYQT-4466
P_113	PWYQT-62
P_114	PWYQT-94
P_115	SUCSYN-PWY
P_116	THISYNARA-PWY
P_117	THRESYN-PWY
P_118	URDEGR-PWY
P_119	URSIN-PWY
P_120	PWY-13
P_121	PWY-561
P_122	PWY-5705
P_123	PWY-6612
