EC_number or RXN_ID	Enzyme class	Enzyme role	filler	Enzyme name	
1.13.11.29	ASE	signature	NA	DOPA dioxygenase	
1.13.11.30	ASE	signature	NA	DOPA dioxygenase	
1.14.18.1	ASE	signature	NA	tyrosinase	
RXN-13061	ASE	signature	NA	tyrosinase	
4.1.1.25	ASE	signature	NA	tyrosine/DOPA decarboxylase	
4.1.1.28	ASE	signature	NA	aromatic-L-amino-acid decarboxylase	
2.3.1.159	ASE	signature	NA	acridone synthase	
1.21.3.3	ASE	signature	NA	berberine bridge enzyme	
2.5.1.45	ASE	signature	NA	homospermidine synthase	
4.2.1.78	ASE	signature	NA	norcoclaurie synthase	
4.3.3.2	ASE	signature	NA	strictosidine synthase	
1.1.1.206	ASE	signature	NA	tropinone reductase I	
1.1.1.236	ASE	signature	NA	tropinone reductase II	
1.3.3.9	ASE	signature	NA	secologanin synthase	
2.1.1.53	ASE	signature	NA	putrescine N-methyltransferase	
2.1.1.158	ASE	signature	NA	xanthosine N-methyltransferase	
RXN-8142	ASE	signature	NA	" 1,2-dehydroreticuline synthase"	
1.5.1.27	ASE	signature	NA	" 1,2-dehydroreticuline reductase"	
RXN-17117	ASE	signature	NA	reticuline epimerase	
RXN-9314	ASE	signature	NA	(S)-corytuberine synthase	
RXN-8688	ASE	signature	NA	17-oxosparteine synthase	
4.3.1.24	PSE	signature	NA	phenylalanine ammonia-lyase	
5.5.1.6	PSE	signature	NA	chalcone isomerase	
1.14.11.22	PSE	signature	NA	flavone synthase	
1.14.11.23	PSE	signature	NA	flavonol synthase	
2.3.1.170	PSE	signature	NA	6'-deoxychalcone synthase	
2.3.1.74	PSE	signature	NA	chalcone synthase	
1.14.13.87	PSE	signature	NA	flavone synthase	
RXN-7650	PSE	signature	NA	flavone synthase	
RXN-7653	PSE	signature	NA	flavone synthase	
1.14.13.136	PSE	signature	NA	isoflavone synthase	
1.14.13.86	PSE	signature	NA	isoflavone synthase	
RXN-7655	PSE	signature	NA	isoflavone synthase	
4.2.1.105	PSE	signature	NA	isoflavone synthase (works together with 1.14.13.136)	
1.14.11.9	PSE	signature	NA	flavanone 3-hydroxylase	
1.1.1.234	PSE	signature	NA	flavanone reductase	
1.17.1.3	PSE	signature	NA	leucoanthocyanidin reductase	
1.3.1.77	PSE	signature	NA	anthocyanidin reductase	
1.14.11.19	PSE	signature	NA	anthocyanidin synthase	
LEUCPEL-RXN	PSE	signature	NA	anthocyanidin synthase	
2.3.1.95	PSE	signature	NA	trihydroxystilbene synthase	
2.3.1.146	PSE	signature	NA	pinosylvin synthase	
RXN-7645	PSE	signature	NA	chalcone synthase	
RXN-11468	PSE	signature	NA	chalcone synthase	
RXN-7822	PSE	signature	NA	chalcone synthase	
RXN-11473	PSE	signature	NA	chalcone synthase	
RXN-7611	PSE	signature	NA	stilbene synthase	
RXN-7577	PSE	signature	NA	stilbene synthase	
RXN-7575	PSE	signature	NA	stilbene synthase	
2.5.1.103	TPS	signature	NA	presqualene diphosphate synthase	
2.5.1.21	TPS	signature	NA	squalene synthase	
2.5.1.32-RXN	TPS	signature	NA	prephytoene synthase	
2.5.1.96	TPS	signature	NA	"4,4?-diapophytoene synthase"	
