Gapsize in bp	Number of Gaps
21	278
22	187
23	168
28	164
24	141
29	140
25	129
30	116
35	116
26	112
31	95
32	95
27	92
36	86
20	85
38	80
33	72
42	68
39	65
40	57
34	55
66	49
37	47
45	47
41	46
44	44
43	40
56	40
54	39
46	38
50	37
48	36
47	35
51	35
53	34
58	34
59	31
49	30
52	30
55	29
62	29
57	28
63	24
68	22
60	20
64	20
69	20
72	20
85	20
67	19
71	19
78	18
80	18
271	18
74	17
77	17
86	17
61	16
73	16
82	16
89	16
101	16
65	15
70	15
75	15
92	14
84	13
88	13
94	13
97	13
98	13
103	13
122	13
76	12
95	12
102	12
79	11
91	11
151	11
1587	11
87	10
90	10
100	10
104	10
109	10
83	9
96	9
121	9
128	9
129	9
105	8
107	8
113	8
134	8
137	8
161	8
180	8
81	7
93	7
111	7
135	7
146	7
147	7
160	7
204	7
108	6
110	6
120	6
124	6
132	6
142	6
149	6
178	6
179	6
99	5
106	5
115	5
117	5
119	5
125	5
127	5
140	5
145	5
1584	5
112	4
116	4
138	4
141	4
150	4
153	4
155	4
162	4
168	4
171	4
177	4
184	4
185	4
114	3
126	3
139	3
143	3
158	3
166	3
169	3
170	3
172	3
175	3
176	3
187	3
357	3
118	2
123	2
131	2
133	2
136	2
144	2
148	2
152	2
156	2
157	2
159	2
165	2
167	2
173	2
181	2
182	2
183	2
186	2
190	2
202	2
203	2
213	2
221	2
263	2
283	2
293	2
300	2
364	2
377	2
393	2
409	2
427	2
489	2
496	2
1557	2
8	1
17	1
130	1
154	1
163	1
164	1
188	1
189	1
191	1
194	1
195	1
197	1
198	1
200	1
201	1
209	1
210	1
211	1
212	1
217	1
218	1
232	1
238	1
240	1
245	1
249	1
255	1
257	1
272	1
273	1
280	1
281	1
286	1
295	1
298	1
303	1
304	1
309	1
311	1
317	1
318	1
326	1
328	1
332	1
339	1
356	1
358	1
360	1
368	1
378	1
386	1
392	1
394	1
401	1
404	1
406	1
407	1
410	1
418	1
420	1
437	1
441	1
443	1
450	1
479	1
480	1
481	1
490	1
495	1
499	1
509	1
513	1
526	1
527	1
534	1
645	1
651	1
668	1
669	1
688	1
710	1
716	1
725	1
761	1
775	1
840	1
848	1
873	1
881	1
885	1
890	1
927	1
948	1
968	1
969	1
996	1
1021	1
1073	1
1096	1
1123	1
1182	1
1249	1
1260	1
1431	1
1440	1
1512	1
1590	1
1616	1
1705	1
2029	1
2043	1
2199	1
2589	1
3257	1
3692	1
3693	1
4228	1
4236	1
4521	1
4699	1
4857	1
5387	1
5433	1
5561	1
5912	1
6895	1
7205	1
7308	1
7351	1
8251	1
9035	1
9420	1
10655	1
11092	1
11716	1
12228	1
12309	1
12920	1
13467	1
13638	1
13644	1
13660	1
15064	1
15229	1
16828	1
17029	1
17519	1
17526	1
17882	1
18637	1
19694	1
30145	1
