Gene_Name	Gene_Start__bp_	Gene_End__bp_	Chromosome_Name	Strand	Enzyme	EC	RXN	Locally Duplicated	LD_ClusterIds	Stepsize 3, Top 5%	Amines and Polyamines Metabolism	Amino Acids Metabolism	Carbohydrates Metabolism	Cofactors Metabolism	Detoxification Metabolism	Energy Metabolism	Fatty Acids and Lipids Metabolism	Hormones Metabolism	Inorganic Nutrients Metabolism	Nitrogen-Containing Compounds	Nucleotides Metabolism	Phenylpropanoid Derivatives	Polyketides	Primary-Specialized Interface Metabolism	Redox Metabolism	Specialized Metabolism	Sugar Derivatives	Terpenoids	Signature Tailoring Enzyme Class	Signature or Tailoring
Genemark1.1_g	3777	6492	scaffold_1	-1	0			0	MCL_876		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Genemark1.2_g	12682	13711	scaffold_1	-1	0			0	MCL_6320		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_kg.1_#_1_#_4092_1_CBOZ_CBPA	18064	19048	scaffold_1	1	0			0	MCL_3745		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
gw1.1.615.1	20452	21735	scaffold_1	1	0			0	MCL_3917		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fgenesh1_pm.1_#_3	21893	23364	scaffold_1	-1	1	EC-2.5.1.55	KDO-8PSYNTH-RXN	0	MCL_6211		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		
fgenesh1_pg.1_#_4	24500	29389	scaffold_1	1	0			0	MCL_111		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genewise1Plus.C_10009	30382	32273	scaffold_1	-1	0			0	MCL_6396		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.493.1	32689	34879	scaffold_1	1	0			0	MCL_1404		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
e_gw1.1.376.1	35390	37229	scaffold_1	-1	0			0	MCL_4162		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
estExt_Genemark1.C_10009	39423	41294	scaffold_1	1	0			0	MCL_3021		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
