Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name	Strand
Genemark1.129_g	703034	718790	scaffold_1	-1
fgenesh1_kg.3_#_191_#_2145_1_CBOZ_CBPA	3010818	3011344	scaffold_3	1
estExt_Genemark1.C_90163	891833	893994	scaffold_9	1
Genemark1.160_g	924659	925252	scaffold_1	-1
fgenesh1_pm.4_#_278	2822618	2825540	scaffold_4	1
fgenesh1_pm.1_#_109	1524123	1529384	scaffold_1	-1
estExt_fgenesh1_pm.C_180112	1167163	1168772	scaffold_18	-1
Genemark1.5061_g	1209578	1213798	scaffold_10	1
e_gw1.1.755.1	2478853	2480166	scaffold_1	1
fgenesh1_pg.23_#_110	803698	808839	scaffold_23	-1
estExt_Genewise1Plus.C_40610	2455132	2457772	scaffold_4	1
Genemark1.7750_g	1026444	1027258	scaffold_19	-1
estExt_Genemark1.C_40196	1213833	1224979	scaffold_4	-1
estExt_Genewise1Plus.C_40236	1135789	1139213	scaffold_4	-1
e_gw1.1.621.1	1726878	1728380	scaffold_1	-1
Genemark1.3901_g	1294491	1295522	scaffold_7	-1
Genemark1.7197_g	688159	698494	scaffold_17	1
fgenesh1_kg.2_#_30_#_0_0_CBPA3533.b1_CBOZ_CBPA	673578	674824	scaffold_2	1
e_gw1.36.4.1	241	630	scaffold_36	1
fgenesh1_pg.1_#_534	3707136	3717601	scaffold_1	-1
estExt_fgenesh1_pm.C_100173	1811605	1813650	scaffold_10	-1
estExt_Genewise1.C_230083	501621	506352	scaffold_23	1
Genemark1.7075_g	1402613	1407718	scaffold_16	-1
estExt_Genemark1.C_120209	1074701	1077645	scaffold_12	1
fgenesh1_pg.12_#_231	1515743	1519627	scaffold_12	-1
estExt_fgenesh1_pm.C_10037	588567	590843	scaffold_1	-1
estExt_Genemark1.C_40358	1985354	1987925	scaffold_4	1
estExt_fgenesh1_pm.C_70185	2088646	2092307	scaffold_7	1
estExt_Genewise1Plus.C_90065	409195	410867	scaffold_9	-1
gw1.1.722.1	2702394	2703181	scaffold_1	1
Genemark1.2026_g	8655	10250	scaffold_4	1
estExt_Genemark1.C_10325	1791253	1794105	scaffold_1	1
fgenesh1_pm.15_#_83	1142840	1144783	scaffold_15	1
estExt_fgenesh1_pg.C_120162	1065684	1070600	scaffold_12	1
estExt_Genewise1.C_50134	912183	914805	scaffold_5	1
Genemark1.963_g	1294679	1297799	scaffold_2	1
Genemark1.2518_g	2612857	2615832	scaffold_4	-1
e_gw1.4.182.1	590740	596249	scaffold_4	1
estExt_Genemark1.C_10287	1558577	1570931	scaffold_1	1
fgenesh1_pm.5_#_248	2909133	2914607	scaffold_5	1
e_gw1.9.199.1	1387740	1390778	scaffold_9	1
fgenesh1_pg.6_#_73	543788	551391	scaffold_6	-1
Genemark1.5908_g	1794387	1796343	scaffold_12	-1
estExt_fgenesh1_pg.C_220093	697637	701457	scaffold_22	-1
estExt_Genemark1.C_210142	840633	842811	scaffold_21	-1
e_gw1.4.743.1	893406	894648	scaffold_4	-1
gw1.23.191.1	263730	264582	scaffold_23	-1
fgenesh1_pg.6_#_352	2243922	2250093	scaffold_6	-1
fgenesh1_kg.19_#_54_#_399_1_CBOZ_CBPA	918043	918567	scaffold_19	-1
estExt_Genemark1.C_230020	116372	125833	scaffold_23	-1
Genemark1.871_g	790345	799964	scaffold_2	1
fgenesh1_kg.20_#_60_#_2900_1_CBOZ_CBPA	1109985	1112166	scaffold_20	1
estExt_fgenesh1_pm.C_70026	456462	460758	scaffold_7	-1
gw1.3.658.1	2664874	2666216	scaffold_3	-1
fgenesh1_kg.4_#_147_#_1409_1_CBOZ_CBPA	2586137	2587058	scaffold_4	1
estExt_Genemark1.C_140074	426496	435308	scaffold_14	-1
Genemark1.8777_g	428198	433085	scaffold_25	1
estExt_Genemark1.C_250008	54701	56460	scaffold_25	-1
estExt_Genewise1Plus.C_70099	596584	597461	scaffold_7	1
Genemark1.2077_g	367784	372185	scaffold_4	1
fgenesh1_pm.3_#_16	216088	219271	scaffold_3	-1
estExt_Genemark1.C_160145	795102	798918	scaffold_16	-1
fgenesh1_kg.4_#_184_#_3430_0_CBOZ2420.g1_CBOZ_CBPA	2964174	2964975	scaffold_4	-1
fgenesh1_kg.4_#_148_#_1938_1_CBOZ_CBPA	2608583	2610257	scaffold_4	-1
fgenesh1_pg.3_#_306	2302990	2307795	scaffold_3	-1
estExt_fgenesh1_pg.C_180055	403111	411103	scaffold_18	-1
Genemark1.1148_g	2138095	2144603	scaffold_2	-1
Genemark1.5524_g	1760948	1761875	scaffold_11	-1
fgenesh1_pg.7_#_328	2285504	2286749	scaffold_7	1
e_gw1.8.237.1	1870634	1873781	scaffold_8	1
fgenesh1_pg.16_#_157	1028027	1033725	scaffold_16	-1
estExt_Genewise1Plus.C_30041	278654	286934	scaffold_3	-1
estExt_Genewise1.C_40150	881964	884873	scaffold_4	-1
e_gw1.14.13.1	559536	567675	scaffold_14	-1
estExt_fgenesh1_pm.C_90084	1014800	1019515	scaffold_9	-1
Genemark1.8393_g	857647	858108	scaffold_22	1
estExt_Genemark1.C_90142	793003	800807	scaffold_9	-1
estExt_Genemark1.C_180038	179091	193247	scaffold_18	-1
estExt_Genemark1.C_70454	2375892	2380103	scaffold_7	-1
estExt_Genewise1Plus.C_20417	2099519	2104775	scaffold_2	-1
estExt_fgenesh1_pm.C_120047	728942	734811	scaffold_12	1
estExt_Genemark1.C_20531	2771784	2784069	scaffold_2	-1
Genemark1.6496_g	1418088	1421002	scaffold_14	1
estExt_fgenesh1_pg.C_10151	1126399	1130187	scaffold_1	1
fgenesh1_pg.4_#_226	1626988	1628920	scaffold_4	-1
Genemark1.4391_g	1547346	1553403	scaffold_8	1
estExt_fgenesh1_pm.C_30092	1081820	1086240	scaffold_3	-1
Genemark1.6915_g	643456	647285	scaffold_16	1
estExt_Genemark1.C_10251	1386822	1389465	scaffold_1	-1
estExt_Genewise1Plus.C_40206	1057936	1062385	scaffold_4	-1
estExt_Genemark1.C_40497	2620994	2628398	scaffold_4	1
e_gw1.1.59.1	2509885	2516323	scaffold_1	1
gw1.7.389.1	1088025	1088422	scaffold_7	1
estExt_Genewise1.C_180169	858669	861336	scaffold_18	-1
fgenesh1_pm.11_#_61	902875	903513	scaffold_11	1
estExt_fgenesh1_pm.C_180062	805863	806944	scaffold_18	-1
estExt_fgenesh1_pg.C_70093	659846	669156	scaffold_7	1
e_gw1.16.184.1	1246536	1247671	scaffold_16	1
estExt_Genemark1.C_10626	3312257	3314951	scaffold_1	-1
estExt_Genemark1.C_20266	1535819	1546287	scaffold_2	1
estExt_Genemark1.C_20633	3342912	3346052	scaffold_2	1
e_gw1.6.65.1	1850476	1855303	scaffold_6	-1
fgenesh1_pg.2_#_56	501441	507097	scaffold_2	1
e_gw1.9.59.1	96134	103222	scaffold_9	1
estExt_Genemark1.C_50055	319583	324890	scaffold_5	1
e_gw1.9.237.1	1564090	1566696	scaffold_9	1
e_gw1.4.221.1	907369	910912	scaffold_4	-1
fgenesh1_pg.19_#_147	1118843	1121953	scaffold_19	-1
estExt_fgenesh1_pm.C_10101	1515949	1516889	scaffold_1	-1
Genemark1.8435_g	106536	109223	scaffold_23	1
gw1.15.276.1	686195	688714	scaffold_15	1
e_gw1.8.417.1	809159	809946	scaffold_8	1
estExt_fgenesh1_pg.C_190086	669786	674665	scaffold_19	1
fgenesh1_pm.7_#_210	2364439	2368036	scaffold_7	1
fgenesh1_kg.16_#_22_#_0_0_CBOZ7169.b1_CBOZ_CBPA	429120	429820	scaffold_16	1
estExt_Genewise1Plus.C_120041	212134	217728	scaffold_12	-1
Genemark1.5217_g	31607	33314	scaffold_11	1
