Gene Name	Transcript Name	Protein Name
gw1.5.69.1	1016	1016
gw1.3.576.1	10165	10165
gw1.28.3.1	102	102
gw1.16.19.1	1026	1026
gw1.11.350.1	10278	10278
gw1.25.114.1	10317	10317
gw1.5.580.1	10321	10321
gw1.7.438.1	10340	10340
gw1.25.117.1	10349	10349
gw1.11.358.1	10354	10354
gw1.6.449.1	10367	10367
gw1.15.274.1	10544	10544
gw1.11.378.1	10582	10582
gw1.15.276.1	10602	10602
gw1.3.643.1	10686	10686
gw1.3.658.1	10765	10765
gw1.14.368.1	10772	10772
gw1.2.830.1	10804	10804
gw1.25.127.1	10830	10830
gw1.15.299.1	10876	10876
gw1.15.303.1	10924	10924
gw1.10.31.1	1093	1093
gw1.3.690.1	10967	10967
gw1.11.419.1	10986	10986
gw1.6.553.1	10993	10993
e_gw1.1.623.1	10998	10998
e_gw1.1.88.1	11010	11010
e_gw1.1.562.1	11011	11011
e_gw1.1.560.1	11014	11014
e_gw1.1.445.1	11028	11028
e_gw1.1.47.1	11034	11034
e_gw1.1.401.1	11046	11046
e_gw1.1.188.1	11048	11048
e_gw1.1.602.1	11051	11051
e_gw1.1.175.1	11052	11052
e_gw1.1.493.1	11063	11063
e_gw1.1.783.1	11065	11065
e_gw1.1.351.1	11092	11092
e_gw1.1.631.1	11104	11104
e_gw1.1.256.1	11115	11115
e_gw1.1.200.1	11131	11131
e_gw1.1.171.1	11132	11132
e_gw1.1.167.1	11140	11140
e_gw1.1.692.1	11144	11144
e_gw1.1.548.1	11147	11147
e_gw1.1.209.1	11155	11155
e_gw1.1.490.1	11157	11157
e_gw1.1.363.1	11161	11161
e_gw1.1.84.1	11172	11172
e_gw1.1.514.1	11180	11180
e_gw1.1.492.1	11187	11187
e_gw1.1.672.1	11190	11190
e_gw1.1.99.1	11191	11191
e_gw1.1.249.1	11195	11195
e_gw1.1.600.1	11197	11197
e_gw1.1.511.1	11214	11214
e_gw1.1.719.1	11218	11218
e_gw1.1.376.1	11236	11236
e_gw1.1.678.1	11238	11238
e_gw1.1.621.1	11248	11248
e_gw1.1.755.1	11255	11255
e_gw1.1.9.1	11258	11258
e_gw1.1.655.1	11263	11263
e_gw1.1.617.1	11270	11270
e_gw1.1.293.1	11277	11277
e_gw1.1.160.1	11298	11298
e_gw1.1.625.1	11301	11301
e_gw1.1.506.1	11312	11312
e_gw1.1.647.1	11314	11314
e_gw1.1.581.1	11333	11333
e_gw1.1.607.1	11335	11335
e_gw1.1.784.1	11354	11354
e_gw1.1.394.1	11364	11364
e_gw1.1.597.1	11369	11369
e_gw1.1.491.1	11385	11385
e_gw1.1.774.1	11390	11390
e_gw1.1.134.1	11395	11395
e_gw1.1.89.1	11397	11397
e_gw1.1.184.1	11398	11398
e_gw1.1.355.1	11403	11403
e_gw1.1.720.1	11411	11411
gw1.5.79.1	1142	1142
e_gw1.1.195.1	11422	11422
e_gw1.1.707.1	11426	11426
e_gw1.1.736.1	11448	11448
e_gw1.1.594.1	11455	11455
e_gw1.1.10.1	11457	11457
e_gw1.1.312.1	11458	11458
e_gw1.1.488.1	11469	11469
e_gw1.1.59.1	11483	11483
e_gw1.1.431.1	11485	11485
e_gw1.1.613.1	11504	11504
e_gw1.1.496.1	11508	11508
e_gw1.1.409.1	11511	11511
e_gw1.1.605.1	11516	11516
e_gw1.1.179.1	11521	11521
e_gw1.1.72.1	11538	11538
e_gw1.1.754.1	11556	11556
e_gw1.1.484.1	11561	11561
e_gw1.1.115.1	11562	11562
e_gw1.1.439.1	11571	11571
