Stepsize	ClusterID	Top n% cluster	Chromosome	Start bp	End bp	Physical size bp	Number of genes	Number of Hypothetical genes	number of Enzymes	Start Gene	End Gene	Gene IDs
3	C559	1	scaffold_1	1829079	1915576	86498	11	0	6	e_gw1.1.9.1	Genemark1.339_g	e_gw1.1.9.1, e_gw1.1.625.1, estExt_Genemark1.C_10331, e_gw1.1.279.1, estExt_fgenesh1_pg.C_10252, estExt_Genemark1.C_10334, estExt_Genemark1.C_10335, estExt_fgenesh1_pg.C_10255, estExt_Genewise1Plus.C_10331, fgenesh1_pm.1_#_139, Genemark1.339_g
3	C560	1	scaffold_1	2033967	2047450	13484	4	0	3	estExt_fgenesh1_pg.C_10276	estExt_Genemark1.C_10365	estExt_fgenesh1_pg.C_10276, e_gw1.1.88.1, e_gw1.1.401.1, estExt_Genemark1.C_10365
3	C564	1	scaffold_1	2447039	2475024	27986	7	0	5	estExt_fgenesh1_pm.C_10178	Genemark1.458_g	estExt_fgenesh1_pm.C_10178, e_gw1.1.293.1, estExt_fgenesh1_pm.C_10180, fgenesh1_kg.1_#_117_#_4116_1_CBOZ_CBPA, estExt_Genemark1.C_10456, estExt_Genewise1.C_10454, Genemark1.458_g
3	C566	1	scaffold_1	2634023	2678805	44783	12	0	6	estExt_Genewise1Plus.C_10492	e_gw1.1.597.1	estExt_Genewise1Plus.C_10492, e_gw1.1.594.1, fgenesh1_kg.1_#_135_#_12_1_CBOZ_CBPA, e_gw1.1.195.1, fgenesh1_pg.1_#_382, estExt_fgenesh1_pg.C_10375, gw1.1.504.1, fgenesh1_pm.1_#_213, fgenesh1_pm.1_#_212, Genemark1.501_g, fgenesh1_pg.1_#_387, e_gw1.1.597.1
3	C567	1	scaffold_1	2766238	2795007	28770	8	0	7	estExt_fgenesh1_pg.C_10395	fgenesh1_pm.1_#_232	estExt_fgenesh1_pg.C_10395, estExt_fgenesh1_pg.C_10396, e_gw1.1.560.1, fgenesh1_pg.1_#_406, estExt_fgenesh1_pm.C_10221, gw1.1.95.1, fgenesh1_pm.1_#_231, fgenesh1_pm.1_#_232
3	C568	1	scaffold_1	2814719	2828014	13296	4	0	3	fgenesh1_pm.1_#_236	Genemark1.539_g	fgenesh1_pm.1_#_236, estExt_Genemark1.C_10537, Genemark1.538_g, Genemark1.539_g
3	C570	1	scaffold_1	2981487	3047543	66057	11	0	7	estExt_Genemark1.C_10567	fgenesh1_kg.1_#_161_#_2020_1_CBOZ_CBPA	estExt_Genemark1.C_10567, Genemark1.568_g, e_gw1.1.115.1, Genemark1.571_g, estExt_Genemark1.C_10572, estExt_Genemark1.C_10573, Genemark1.574_g, fgenesh1_pg.1_#_443, Genemark1.576_g, estExt_Genewise1Plus.C_10596, fgenesh1_kg.1_#_161_#_2020_1_CBOZ_CBPA
3	C571	1	scaffold_1	3092999	3137734	44736	11	0	8	estExt_Genewise1Plus.C_10605	fgenesh1_pm.1_#_264	estExt_Genewise1Plus.C_10605, fgenesh1_pg.1_#_451, fgenesh1_pg.1_#_452, estExt_fgenesh1_pg.C_10445, fgenesh1_pg.1_#_454, Genemark1.591_g, fgenesh1_pg.1_#_456, fgenesh1_pm.1_#_263, fgenesh1_pg.1_#_458, Genemark1.595_g, fgenesh1_pm.1_#_264
3	C575	1	scaffold_1	3620701	3638244	17544	3	0	3	estExt_fgenesh1_pm.C_10293	fgenesh1_pm.1_#_304	estExt_fgenesh1_pm.C_10293, Genemark1.675_g, fgenesh1_pm.1_#_304
3	C576	1	scaffold_1	3721576	3790340	68765	14	0	8	fgenesh1_pm.1_#_306	Genemark1.702_g	fgenesh1_pm.1_#_306, e_gw1.1.171.1, fgenesh1_pg.1_#_538, estExt_fgenesh1_pg.C_10530, e_gw1.1.642.1, fgenesh1_kg.1_#_193_#_3831_1_CBOZ_CBPA, e_gw1.1.188.1, estExt_Genemark1.C_10698, gw1.1.735.1, e_gw1.1.720.1, estExt_fgenesh1_pm.C_10303, estExt_Genemark1.C_10701, estExt_fgenesh1_pm.C_10304, Genemark1.702_g
3	C577	1	scaffold_1	4004205	4020584	16380	4	0	3	estExt_Genewise1Plus.C_10736	estExt_Genewise1Plus.C_10740	estExt_Genewise1Plus.C_10736, fgenesh1_pg.1_#_577, gw1.1.389.1, estExt_Genewise1Plus.C_10740
3	C578	1	scaffold_10	972	42237	41266	4	0	3	estExt_Genewise1Plus.C_100001	estExt_Genewise1Plus.C_100006	estExt_Genewise1Plus.C_100001, Genemark1.4832_g, e_gw1.10.331.1, estExt_Genewise1Plus.C_100006
3	C579	1	scaffold_10	84618	125627	41010	5	0	4	e_gw1.10.11.1	e_gw1.10.56.1	e_gw1.10.11.1, e_gw1.10.12.1, gw1.10.31.1, Genemark1.4849_g, e_gw1.10.56.1
3	C581	1	scaffold_10	668420	673797	5378	3	0	3	fgenesh1_pg.10_#_83	estExt_Genemark1.C_100110	fgenesh1_pg.10_#_83, estExt_Genemark1.C_100109, estExt_Genemark1.C_100110
3	C583	1	scaffold_10	773062	798139	25078	7	0	5	estExt_Genemark1.C_100135	gw1.10.413.1	estExt_Genemark1.C_100135, fgenesh1_pg.10_#_101, fgenesh1_pm.10_#_58, e_gw1.10.55.1, estExt_Genemark1.C_100139, gw1.10.255.1, gw1.10.413.1
3	C584	1	scaffold_10	880862	907688	26827	8	0	5	estExt_Genemark1.C_100155	estExt_Genewise1Plus.C_100128	estExt_Genemark1.C_100155, estExt_fgenesh1_pm.C_100063, e_gw1.10.288.1, estExt_fgenesh1_pm.C_100064, fgenesh1_pg.10_#_115, estExt_Genewise1.C_100125, estExt_Genemark1.C_100161, estExt_Genewise1Plus.C_100128
3	C586	1	scaffold_10	1451549	1467515	15967	4	0	3	estExt_fgenesh1_pm.C_100125	e_gw1.10.366.1	estExt_fgenesh1_pm.C_100125, estExt_Genemark1.C_100288, estExt_fgenesh1_pm.C_100126, e_gw1.10.366.1
3	C587	1	scaffold_10	1815691	1879024	63334	15	0	7	fgenesh1_pm.10_#_179	estExt_Genemark1.C_100374	fgenesh1_pm.10_#_179, gw1.10.307.1, estExt_fgenesh1_pm.C_100177, estExt_fgenesh1_pm.C_100178, gw1.10.406.1, estExt_fgenesh1_pm.C_100179, estExt_fgenesh1_pg.C_100282, estExt_Genewise1Plus.C_100413, estExt_fgenesh1_pg.C_100284, estExt_Genewise1.C_100417, e_gw1.10.174.1, fgenesh1_pg.10_#_288, e_gw1.10.145.1, e_gw1.10.385.1, estExt_Genemark1.C_100374
3	C589	1	scaffold_11	163855	252924	89070	15	0	8	fgenesh1_pg.11_#_22	estExt_fgenesh1_pg.C_110030	fgenesh1_pg.11_#_22, fgenesh1_kg.11_#_8_#_2525_1_CBOZ_CBPA, estExt_Genewise1Plus.C_110040, Genemark1.5234_g, Genemark1.5235_g, fgenesh1_pg.11_#_25, Genemark1.5237_g, fgenesh1_pg.11_#_26, Genemark1.5239_g, Genemark1.5240_g, Genemark1.5241_g, Genemark1.5242_g, Genemark1.5243_g, Genemark1.5244_g, estExt_fgenesh1_pg.C_110030
3	C591	1	scaffold_11	625508	660419	34912	6	0	4	Genemark1.5312_g	fgenesh1_pm.11_#_38	Genemark1.5312_g, estExt_Genemark1.C_110104, e_gw1.11.352.1, fgenesh1_pg.11_#_82, fgenesh1_pm.11_#_37, fgenesh1_pm.11_#_38
3	C592	1	scaffold_11	686234	744833	58600	11	0	6	fgenesh1_pm.11_#_40	estExt_Genemark1.C_110125	fgenesh1_pm.11_#_40, Genemark1.5324_g, Genemark1.5325_g, fgenesh1_pg.11_#_90, estExt_fgenesh1_pm.C_110041, estExt_Genewise1Plus.C_110140, gw1.11.111.1, estExt_Genemark1.C_110121, Genemark1.5331_g, estExt_Genemark1.C_110124, estExt_Genemark1.C_110125
